City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
236,Cap Malheureux,MU,81.0,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
238,Sao Joao Da Barra,BR,84.2,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
240,Axim,GH,83.79,scattered clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
248,Cidreira,BR,75.15,clear sky,-30.1811,-50.2056,Hotel Castelo
251,Bilma,NE,86.18,clear sky,18.6853,12.9164,Expeditions Ténére voyages
253,Sibolga,ID,77.41,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
255,Carutapera,BR,84.02,overcast clouds,-1.195,-46.02,Lidera
261,Pak Phanang,TH,81.32,light rain,8.3511,100.20200000000001,Green Park Inn Hotel
267,Meulaboh,ID,77.43,overcast clouds,4.1363,96.1285,Kost Pria
268,Kismayo,SO,82.78,overcast clouds,-0.3582,42.5454,Agan-Hotel
269,Avarua,CK,80.6,broken clouds,-21.2078,-159.775,Paradise Inn
270,Puliyur,IN,87.8,haze,10.6333,78.8333,SRI ANGALAPRAMESHWARI AMMAN KOVIL
278,Rosetta,EG,75.2,clear sky,31.4044,30.4164,Green Valley
279,Trat,TH,79.0,overcast clouds,12.5,102.5,สวนหนิง-อัศ
281,Dorado,PR,84.99,scattered clouds,18.4588,-66.2677,Embassy Suites by Hilton Dorado del Mar Beach Resort
287,Bandarbeyla,SO,80.35,few clouds,9.4942,50.8122,JABIR HOTEL
290,Cobija,BO,82.4,broken clouds,-11.0267,-68.7692,Hotel Obelisco
292,Ixtapa,MX,84.2,clear sky,20.7,-105.2,Hotel Plaza Providencia
301,Sur,OM,85.68,clear sky,22.5667,59.5289,Sur Plaza Hotel
303,Harper,LR,82.81,broken clouds,4.375,-7.7169,Screensaver
304,San Cristobal,VE,80.6,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
307,Martapura,ID,77.0,few clouds,-3.4167,114.85,Montana Hotel Syariah
311,Boa Vista,BR,89.6,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
312,Sampaloc,PH,82.4,few clouds,14.5402,121.3602,Kristiene & Kurt Resort
318,Pitimbu,BR,86.0,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
319,Sinnamary,GF,79.75,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
320,Ternate,ID,80.69,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
321,Yazman,PK,89.24,broken clouds,29.1212,71.7446,Jamal sons showroom
322,Qui Nhon,VN,76.98,scattered clouds,13.7667,109.2333,Hoang Yen Canary Hotel
325,Naifaru,MV,84.2,broken clouds,5.4444,73.3657,Naifaru Residence Guest House
326,Samarai,PG,82.09,overcast clouds,-10.6167,150.6667,Nuli Sapi
331,Cam Ranh,VN,78.8,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
335,Touros,BR,77.0,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
336,Bajil,YE,81.55,clear sky,15.0584,43.2851,فندق الجلال
338,Hobyo,SO,83.3,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
339,Camiri,BO,80.6,broken clouds,-20.05,-63.5167,J R Hotel
340,Saint-Joseph,RE,78.8,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
343,Bandundu,CD,82.18,broken clouds,-3.3167,17.3667,Coja Color
345,Sabha,LY,83.32,scattered clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
351,Corrente,BR,88.86,broken clouds,-3.7367,-43.3394,Chapadinhense Hotel
357,Surt,LY,83.91,broken clouds,31.2089,16.5887,الهادي ابوشعاله سرت
367,Dakar,SN,75.2,clear sky,14.6937,-17.4441,Redface Studios Meublés
372,Santa Fe,AR,87.01,broken clouds,-31.6333,-60.7,Conquistador Hotel
375,Waingapu,ID,77.95,light rain,-9.6567,120.2641,Pondok Wisata Elim
376,Saint Anthony,US,75.2,clear sky,45.0205,-93.21799999999999,Holiday Inn Express Roseville-St. Paul
380,Nushki,PK,80.87,overcast clouds,29.5542,66.0215,Jahangir Hotel Noshki
386,Poso,ID,77.61,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
389,The Valley,AI,84.2,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
390,Anloga,GH,86.0,few clouds,5.7947,0.8973,Pin Drop Hotel
395,Pampierstad,ZA,75.24,clear sky,-27.7832,24.6877,BAROLONG METHODIST CHURCH
398,Praia,CV,89.6,clear sky,14.9215,-23.5087,LT Aparthotel
399,Tomatlan,MX,89.74,scattered clouds,19.9333,-105.25,Norma franco
400,Ugoofaaru,MV,84.22,broken clouds,5.6667,73.0,Ungoofaaru Inn
401,Cockburn Town,TC,77.0,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
402,Kathu,TH,88.0,few clouds,7.9178,98.3332,Novotel Phuket Resort
403,Manaure,CO,85.73,broken clouds,11.7751,-72.4445,Hotel Palaaima
407,Esqueda,MX,77.23,clear sky,30.7167,-109.5833,Hotel Esqueda
411,Puerto Narino,CO,86.0,scattered clouds,-3.7703,-70.3831,Eware Refugio Amazonico
412,Labuan,MY,77.0,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
416,Santa Rosa,PH,82.4,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
419,Champerico,GT,87.8,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
420,Letlhakeng,BW,78.62,clear sky,-24.0944,25.0298,fenugreek
421,Pailon,BO,86.0,broken clouds,-17.65,-62.75,Alojamiento pailon
422,Eyl,SO,81.61,few clouds,7.9803,49.8164,Amiin Hotel
423,Basavakalyan,IN,88.16,few clouds,17.8667,76.95,Tourist Lodge
429,Isiro,CD,76.3,broken clouds,2.7739,27.616,Guest House Hewa Bora
435,Mochicahui,MX,75.2,clear sky,25.9333,-108.9333,Abarrotes alcantar
438,Alyangula,AU,79.11,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
441,Teknaf,BD,76.1,clear sky,20.8624,92.3058,Forestry Guesthouse
444,San Pedro,PH,82.4,few clouds,14.35,121.0167,OYO 412 Viewfort Venue
445,Buala,SB,79.72,light rain,-8.145,159.5921,Maringe Lagoon Lodge
448,Barabai,ID,75.27,light rain,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
450,Bonanza,NI,76.71,broken clouds,14.0289,-84.59100000000001,Edificio Administrativo HEMCO
452,Saint-Paul,RE,80.6,few clouds,-21.0096,55.2707,Boucan Canot
454,Bambanglipuro,ID,75.29,light rain,-7.95,110.2833,Puri Brata
460,Pasni,PK,80.17,clear sky,25.2631,63.471000000000004,Kashmiri Hotal
471,Tarakan,ID,80.78,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
473,Miami Beach,US,75.2,broken clouds,25.7906,-80.1301,Albion Hotel
480,Sassandra,CI,83.39,light rain,4.95,-6.0833,la terrasse
497,Barceloneta,PR,84.99,broken clouds,18.4505,-66.5385,Manati World Point Inn
502,Ambajogai,IN,86.54,clear sky,18.7333,76.3833,Hotel Krushnai
505,Vallenar,CL,78.8,overcast clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
510,Takoradi,GH,83.61,scattered clouds,4.8845,-1.7554,Raybow International Hotel
520,Jaragua,BR,80.6,broken clouds,-15.7569,-49.3344,Danbury Hotel
521,Alugan,PH,81.52,overcast clouds,12.2188,125.4808,JM Lodge
522,Pilar,BR,84.2,heavy intensity rain,-9.5972,-35.9567,Pousada e churrascaria Manguaba
524,San Andres,CO,87.8,few clouds,12.5847,-81.7006,Hotel Arena Blanca
526,Fare,PF,80.83,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
527,Imbituba,BR,78.8,few clouds,-28.24,-48.6703,Praia Hotel Imbituba
539,Comodoro Rivadavia,AR,80.6,clear sky,-45.8667,-67.5,Austral Hotel
540,Roebourne,AU,83.52,clear sky,-20.7833,117.1333,Harding River Caravan Park
543,Alta Floresta,BR,82.22,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
545,Sorong,ID,81.79,broken clouds,-0.8833,131.25,The Waigo Hotel
550,Ciudad Bolivar,VE,89.55,overcast clouds,8.1222,-63.5497,Hotel Edi
552,Mabay,PH,78.03,overcast clouds,6.0577,124.4666,Bautista Lodging House
553,Bonthe,SL,85.39,broken clouds,7.5264,-12.505,Bonthe Holiday Village
556,Bhainsa,IN,83.97,clear sky,26.9548,76.9012,Satto pawta
573,Lufilufi,WS,77.0,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
577,Nueva Guinea,NI,84.36,overcast clouds,11.6876,-84.4562,Posadita La Reyna
