City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Broome,US,2021-04-03 02:49:30,42.2506,-75.833,24.8,42,1,5.75
68,Dikson,RU,2021-04-03 02:42:51,73.5069,80.5464,-13.5,82,91,3.71
69,Vanimo,PG,2021-04-03 02:49:30,-2.6741,141.3028,78.87,88,100,7.07
70,Rexburg,US,2021-04-03 02:49:30,43.826,-111.7897,60.8,18,1,10.36
71,Lebu,CL,2021-04-03 02:40:28,-37.6167,-73.65,53.78,92,18,15.43
72,Alofi,NU,2021-04-03 02:42:20,-19.0595,-169.9187,84.2,74,91,10.36
73,Yellowknife,CA,2021-04-03 02:39:17,62.456,-114.3525,5.0,78,90,9.22
74,Barrow,US,2021-04-03 02:43:09,71.2906,-156.7887,-13.0,70,1,5.75
75,Stanghelle,NO,2021-04-03 02:49:31,60.5528,5.7357,35.01,81,17,3.24
76,Ilulissat,GL,2021-04-03 02:43:02,69.2167,-51.1,6.8,72,90,9.22
77,Saskylakh,RU,2021-04-03 02:42:21,71.9167,114.0833,-17.55,94,79,3.71
78,Jamestown,US,2021-04-03 02:42:40,42.097,-79.2353,26.6,74,1,12.66
79,Poum,NC,2021-04-03 02:43:01,-20.2333,164.0167,79.38,82,95,7.07
80,Leiyang,CN,2021-04-03 02:49:31,26.4024,112.8591,56.32,88,100,7.14
81,Santa Cruz,BO,2021-04-03 02:49:31,-17.8,-63.1667,71.6,78,75,3.44
82,Klaksvik,FO,2021-04-03 02:44:21,62.2266,-6.589,42.8,93,90,13.8
83,Kloulklubed,PW,2021-04-03 02:49:31,7.0419,134.2556,86.0,70,75,10.36
84,Tarauaca,BR,2021-04-03 02:49:32,-8.1614,-70.7656,73.2,98,100,1.86
85,Torbay,CA,2021-04-03 02:42:39,47.6666,-52.7314,35.01,100,90,8.05
86,Geraldton,AU,2021-04-03 02:42:31,-28.7667,114.6,78.8,65,96,9.22
87,Kapaa,US,2021-04-03 02:42:30,22.0752,-159.319,77.0,69,40,12.66
88,Georgetown,MY,2021-04-03 02:39:09,5.4112,100.3354,86.0,79,20,3.44
89,Codrington,AU,2021-04-03 02:42:29,-38.2667,141.9667,89.26,19,0,16.84
90,Takoradi,GH,2021-04-03 02:49:32,4.8845,-1.7554,79.12,88,11,6.38
91,Ewo,CG,2021-04-03 02:49:32,-0.8725,14.8206,72.54,94,100,3.04
92,Moussoro,TD,2021-04-03 02:49:33,13.6408,16.4901,72.82,13,30,15.7
93,Tiksi,RU,2021-04-03 02:42:34,71.6872,128.8694,-12.68,99,100,8.57
94,Ribeira Grande,PT,2021-04-03 02:42:21,38.5167,-28.7,61.12,87,100,31.14
95,Patacamaya,BO,2021-04-03 02:49:33,-17.2333,-67.9167,44.87,83,100,8.9
96,Norman Wells,CA,2021-04-03 02:42:58,65.282,-126.8329,12.2,52,75,5.75
97,Touros,BR,2021-04-03 02:44:01,-5.1989,-35.4608,77.0,88,40,3.44
98,Hilo,US,2021-04-03 02:42:20,19.7297,-155.09,78.8,61,40,11.5
99,Mianyang,CN,2021-04-03 02:49:33,31.4593,104.7542,63.05,61,60,2.15
100,Caravelas,BR,2021-04-03 02:43:08,-17.7125,-39.2481,75.2,90,16,4.88
101,Iqaluit,CA,2021-04-03 02:42:39,63.7506,-68.5145,-11.2,77,1,2.3
102,Careiro Da Varzea,BR,2021-04-03 02:49:34,-3.2003,-59.8119,78.8,89,0,6.91
103,Portland,US,2021-04-03 02:41:07,45.5234,-122.6762,62.6,44,75,5.75
104,Saint-Philippe,RE,2021-04-03 02:42:51,-21.3585,55.7679,77.0,94,40,17.27
105,Henties Bay,NA,2021-04-03 02:49:34,-22.116,14.2845,62.01,88,4,1.01
106,Cherskiy,RU,2021-04-03 02:43:04,68.75,161.3,9.39,74,100,8.1
107,Kavieng,PG,2021-04-03 02:42:56,-2.5744,150.7967,84.36,73,100,7.47
